,name,dob,nat,score,events,environment,race,date,performance,place
0,Muluken TEWALT,20 JAN 2003,USA,1065,1500m [Mile ind.],Outdoor,1500 Metres,08 APR 2022,3:41.31,"Morris Williams T&F Stadium, Durham, NC (USA)"
1,Muluken TEWALT,20 JAN 2003,USA,1065,1500m [Mile ind.],Outdoor,3000 Metres,26 APR 2019,8:42.36,"Philadelphia, PA (USA)"
2,Muluken TEWALT,20 JAN 2003,USA,1065,1500m [Mile ind.],Outdoor,Two Miles,15 JUN 2019,9:24.86,"Greensboro, NC (USA)"
3,Muluken TEWALT,20 JAN 2003,USA,1065,1500m [Mile ind.],Outdoor,5000 Metres,22 APR 2022,13:43.60,"UVA Lanningan Field, Charlottesville, VA (USA)"
4,Muluken TEWALT,20 JAN 2003,USA,1065,1500m [Mile ind.],Indoor,One Mile,12 FEB 2022,3:59.94,"Liberty Indoor Complex, Lynchburg, VA (USA)"
5,Muluken TEWALT,20 JAN 2003,USA,1065,1500m [Mile ind.],Indoor,3000 Metres,29 FEB 2020,8:28.95,"Armory Track, New York, NY (USA)"
6,Muluken TEWALT,20 JAN 2003,USA,1065,1500m [Mile ind.],Indoor,3000 Metres,29 JAN 2022,7:56.26,"Clemson Indoor Track & Field Complex, Clemson, SC (USA)"
7,Muluken TEWALT,20 JAN 2003,USA,1065,1500m [Mile ind.],Indoor,Two Miles,19 JAN 2019,9:20.93,"Lynchburg, VA (USA)"
8,Muluken TEWALT,20 JAN 2003,USA,1065,1500m [Mile ind.],Indoor,5000 Metres,08 MAR 2019,15:23.00,"New York, NY (USA)"
9,Muluken TEWALT,20 JAN 2003,USA,1065,1500m [Mile ind.],Indoor,Distance Medley Relay,24 FEB 2022,9:38.52,"Rector Fieldhouse, Blacksburg, VA (USA)"
10,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,600 Metres,30 JUN 2012,1:24.48,Nottwil (SUI)
11,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,600 Metres,09 MAY 2013,1:22.73,Langenthal (SUI)
12,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,600 Metres,14 MAY 2015,1:20.26,Langenthal (SUI)
13,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,600 Metres,08 MAY 2016,1:21.70,Pliezhausen (GER)
14,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,800 Metres,22 AUG 2012,1:57.89,Langenthal (SUI)
15,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,800 Metres,21 SEP 2013,1:54.89,Basel (SUI)
16,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,800 Metres,28 JUN 2014,1:50.18,Rapperswil-Jona (SUI)
17,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,800 Metres,07 AUG 2015,1:52.63,Zug (SUI)
18,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,800 Metres,25 AUG 2016,1:50.34,"Stade Olympique de la Pontaise, Lausanne (SUI)"
19,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,800 Metres,19 AUG 2017,1:54.89,Kessel-Lo (BEL)
20,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,800 Metres,25 AUG 2018,1:53.34,Rapperswil-Jona (SUI)
21,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,800 Metres,14 SEP 2019,1:50.73,"Stadion Wankdorf, Bern (SUI)"
22,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,800 Metres,02 SEP 2020,1:47.87,"TSV Stadion, Pfungstadt (GER)"
23,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,800 Metres,26 AUG 2021,1:48.81,"Stade Olympique de la Pontaise, Lausanne (SUI)"
24,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,800 Metres,21 MAY 2022,1:52.32,"Centre sportif Bout-du-Monde, Genève (SUI)"
25,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1000 Metres,17 JUL 2012,2:35.53,Luzern (SUI)
26,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1000 Metres,18 MAY 2014,2:26.85,Pliezhausen (GER)
27,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1000 Metres,09 AUG 2017,2:29.59,Thun (SUI)
28,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1000 Metres,01 SEP 2018,2:25.45,Teufen (SUI)
29,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1500 Metres,04 JUL 2013,4:04.67,"Stade Olympique de la Pontaise, Lausanne (SUI)"
30,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1500 Metres,20 SEP 2014,4:06.01,Leiria (POR)
31,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1500 Metres,19 SEP 2015,4:08.80,Istanbul (TUR)
32,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1500 Metres,25 JUN 2016,3:48.70,Mannheim (GER)
33,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1500 Metres,16 AUG 2017,3:49.66,Regensdorf (SUI)
34,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1500 Metres,11 JUL 2018,3:48.59,Pfungstadt (GER)
35,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1500 Metres,03 AUG 2019,3:41.42,Bern (SUI)
36,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1500 Metres,15 SEP 2020,3:37.84,"Stadio Comunale, Bellinzona (SUI)"
37,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1500 Metres,30 MAY 2021,3:38.55,"Elena Venizelou National Stadium, Chania (GRE)"
38,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,1500 Metres,03 JUN 2022,3:44.81,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)"
39,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,One Mile,03 JUL 2020,3:59.06,"Stadion Allmend, Luzern (SUI)"
40,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Outdoor,2000 Metres,24 JUL 2020,5:01.32,"Stadion Wankdorf, Bern (SUI)"
41,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,400 Metres,02 FEB 2014,50.76,Magglingen (SUI)
42,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,400 Metres,24 JAN 2015,50.32,Magglingen (SUI)
43,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,800 Metres,16 FEB 2014,1:53.24,Magglingen (SUI)
44,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,800 Metres,01 FEB 2015,1:51.11,Magglingen (SUI)
45,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,800 Metres,30 JAN 2016,1:54.39,Magglingen (SUI)
46,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,1000 Metres,23 FEB 2014,2:28.52,Magglingen (SUI)
47,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,1000 Metres,22 FEB 2015,2:25.70,Magglingen (SUI)
48,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,1000 Metres,06 FEB 2016,2:27.77,Magglingen (SUI)
49,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,1000 Metres,02 FEB 2020,2:24.88,"Halle End der Welt, Magglingen (SUI)"
50,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,1500 Metres,19 FEB 2017,4:01.95,Magglingen (SUI)
51,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,1500 Metres,08 FEB 2020,3:45.13,"Arena, Toruń (POL)"
52,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,1500 Metres,27 FEB 2022,3:57.95,"Halle End der Welt, Magglingen (SUI)"
53,Tom ELMER,01 APR 1997,SUI,1065,1500m [1500m ind.],Indoor,3000 Metres,27 FEB 2022,8:04.59,"Halle End der Welt, Magglingen (SUI)"
